userid,followerid
1433143691,51
1433144204,683
1433144245,94
1433144307,125
1433147017,3
1433147821,783
1433150711,413
1433153413,167
1433155985,82
1433158597,64
1433158862,658
1433162625,506
1433163723,131
1433166203,41
1433166775,547
1433168190,149
1433174390,126
1433175237,76
1433177313,329
1433177705,316
1433177945,985
1433179100,1053
1433182373,294
1433182957,600
1433185493,610
1433187183,805
1433188740,248
1433191674,879
1433193614,1428
1433201810,528
1433205471,513
1433205823,419
1433207191,462
1433209532,1075
1433210013,49
1433210537,123
1433211285,341
1433212563,614
1433212801,338
1433215263,223
1433215493,75
1433218652,145
1433219630,83
1433219737,126
1433219794,92
1433222831,103
1433223142,282
1433228131,43
1433228373,116
1433228560,206
1433229632,71
1433230401,271
1433237377,135
1433242512,734
1433245247,25
1433246401,547
1433247434,327
1433255704,138
1433262197,759
1433263520,51
1433263533,198
1433264242,63
1433265597,165
1433266572,185
1433267413,313
1433271214,1259
1433275452,373
1433277003,151
1433277800,570
1433281792,120
1433285502,614
1433286642,60
1433287103,1249
1433287292,74
1433290767,96
1433294104,86
1433294943,339
1433295302,1622
1433297062,115
1433298592,79
1433300397,118
1433300844,142
1433302311,134
1433302445,107
1433303824,371
1433304605,78
1433305140,824
1433305461,23
1433305747,62
1433310914,103
1433311821,21
1433313435,242
1433313887,121
1433318045,919
1433318164,215
1433320585,8
1433323862,105
1433325045,75
1433329774,127
1433336350,89
1433341277,284
1433341422,65
1433344383,161
1433345865,118
1433346464,196
1433346527,431
1433349305,280
1433350923,26
1433352803,180
1433353080,281
1433355884,395
1433356432,207
1433358522,146
1433360685,923
1433365913,468
1433368312,126
1433368557,42
1433370203,83
1433372185,338
1433378440,86
1433378471,86
1433385411,104
1433385627,252
1433386395,17
1433386572,164
1433387177,413
1433387630,193
1433389131,73
1433390473,66
1433391875,336
1433392064,400
1433393804,133
1433397405,42
1433399202,47
1433399264,376
1433402950,262
1433406647,244
1433408435,404
1433416121,1500
1433417000,244
1433417231,314
1433421914,184
1433424017,60
1433428505,246
1433428644,599
1433428820,136
1433430875,204
1433439357,212
1433440645,61
1433442071,70
1433442590,238
1433443917,242
1433447725,144
1433447874,101
1433449762,65
1433451200,163
1433452523,229
1433453934,46
1433454290,792
1433462462,168
1433464033,248
1433466075,29
1433466462,127
1433467250,189
1433467521,122
1433469242,266
1433471202,56
1433471552,303
1433471714,10
1433472412,334
1433472471,139
1433472793,529
1433472964,91
1433474031,488
1433478450,117
1433480703,1568
1433481133,169
1433483257,420
1433485577,86
1433485943,138
1433487104,403
1433489530,478
1433496540,186
1433496763,177
1433496890,288
1433499435,160
1433502061,440
1433502264,81
1433503065,71
1433504873,877
1433506392,97
1433507123,401
1433508693,87
1433510192,337
1433512494,73
1433518063,51
1433518354,126
1433521667,310
1433523485,31
1433529834,97
1433531634,63
1433533977,273
1433535571,160
1433535591,62
1433536422,29
1433537083,427
1433539910,96
1433540682,143
1433543690,57
1433545233,625
1433546934,109
1433546963,21
1433550811,362
1433551501,60
1433552760,605
1433553163,1043
1433553182,325
1433554382,57
1433555144,342
1433557323,98
1433558991,122
1433560262,301
1433560783,90
1433562093,373
1433562390,224
1433566070,136
1433567930,29
1433569557,30
1433570441,158
1433571440,179
1433574121,44
1433575465,42
1433575607,132
1433575931,6
1433577781,72
1433578515,147
1433579144,209
1433579780,286
1433582030,303
1433582422,30
1433582734,240
1433583043,57
1433583394,293
1433588610,189
1433589300,762
1433593472,698
1433594093,103
1433595587,227
1433595894,98
1433596194,116
1433596734,903
1433596983,72
1433601890,91
1433603200,346
1433603622,89
1433605720,141
1433606504,45
1433609564,54
1433616141,205
1433618733,118
1433621275,40
1433621423,56
1433622504,239
1433625632,162
1433628257,162
1433630363,32
1433631280,159
1433635083,120
1433636373,98
1433637537,167
1433638014,1003
1433638020,60
1433639300,665
1433639712,834
1433640483,110
1433642632,71
1433644764,275
1433645242,227
1433646237,461
1433646900,348
1433646922,158
1433647611,228
1433648293,999
1433649001,301
1433650865,914
1433652352,52
1433652795,851
1433653180,49
1433653314,29
1433654304,38
1433655842,1048
1433656880,187
1433657347,454
1433657400,79
1433658445,64
1433665610,100
1433668467,222
1433668703,434
1433669217,970
1433669240,206
1433672402,176
1433673030,700
1433678592,11
1433680664,315
1433681503,64
1433682370,104
1433684545,266
1433685875,520
1433688270,114
1433691375,160
1433693345,71
1433697001,234
1433703774,134
1433706647,271
1433710197,29
1433710540,219
1433711954,385
1433713134,617
1433714461,38
1433714624,98
1433718202,558
1433718850,84
1433725465,148
1433726045,284
1433726903,126
1433727052,58
1433730470,144
1433730670,633
1433733834,91
1433736781,67
1433738334,268
1433739244,74
1433740551,1176
1433742643,202
1433751803,351
1433753262,162
1433755423,33
1433758267,90
1433758735,108
1433762481,464
1433764400,195
1433765237,2165
1433770634,391
1433773952,163
1433777772,176
1433779463,185
1433779494,152
1433781027,535
1433789132,164
1433791590,464
1433795281,162
1433797363,139
1433800261,93
1433800415,146
1433801405,1450
1433801823,1
1433801845,127
1433803721,102
1433804030,1504
1433804711,72
1433810817,112
1433817424,1494
1433818842,627
1433821847,404
1433827742,364
1433830194,130
1433830517,185
1433831743,897
1433833077,141
1433845555,118
1433846335,301
1433849561,381
1433852991,29
1433855447,1273
1433855575,276
1433857384,228
1433859440,86
1433861701,124
1433864152,1077
1433866004,109
1433871525,8
1433872087,95
1433872814,388
1433874220,19
1433875892,94
1433876622,8
1433878912,117
1433881343,330
1433882174,69
1433886074,259
1433895692,32
1433899854,307
1433903955,111
1433912694,602
1433914252,216
1433933491,70
1433935884,392
1433936424,1215
1433940047,44
1433942014,78
1433942433,785
1433943210,940
1433950091,131
1433953135,297
1433955482,135
1433958992,196
1433959054,105
1433960787,411
1433961657,91
1433962217,345
1433962915,176
1433964490,562
1433965811,54
1433971892,43
1433973177,510
1433981645,609
1433982342,896
1433991732,727
1433993833,110
1433995350,365
1433996671,103
1433999665,181
1433999762,289
1434000117,109
1434000397,71
1434001361,331
1434002060,28
1434002732,40
1434003162,144
1434004434,225
1434009002,249
1434014573,684
1434014663,5
1434015837,170
1434016761,691
1434019230,79
1434022202,166
1434022643,323
1434025824,120
1434027090,215
1434029531,157
1434029642,290
1434029707,78
1434032063,379
1434037477,466
1434040484,28
1434043830,130
1434044670,58
1434052213,97
1434053521,176
1434054744,197
1434056841,399
1434057295,133
1434058297,59
1434066280,220
1434066772,122
1434067313,144
1434068273,1526
1434069935,294
1434078367,93
1434081092,62
1434083793,147
1434088937,209
1434092364,127
1434093142,98
1434093435,163
1434094101,492
1434095305,63
1434096183,176
1434098305,50
1434101331,136
1434101723,100
1434103644,455
1434104447,348
1434105404,257
1434110137,204
1434114220,242
1434115290,554
1434117060,130
1434118543,150
1434119177,1078
1434125727,78
1434125854,116
1434130427,166
1434134055,1373
1434134645,744
1434137012,127
1434138737,33
1434139611,241
1434139633,26
1434143190,283
1434145857,79
1434150537,826
1434152683,556
1434153472,456
1434155354,191
1434159320,280
1434160101,99
1434160330,58
1434162690,213
1434162980,62
1434165024,969
1434170697,308
1434173303,139
1434174565,86
1434176520,59
1434177157,111
1434178744,261
1434180100,59
1434181010,198
1434182501,83
1434184805,95
1434186564,31
1434188551,361
1434190202,74
1434190651,496
1434192330,1167
1434193271,60
1434195145,107
1434197324,145
1434197362,384
1434198271,95
1434199081,25
1434199920,1039
1434203610,256
1434204134,191
1434204871,951
1434205013,96
1434206133,140
1434210211,425
1434215890,134
1434221201,103
1434221621,1006
1434222243,74
1434223700,42
1434224355,131
1434224753,187
1434226220,351
1434228821,94
1434231522,224
1434233155,24
1434235361,251
1434235581,547
1434238083,5
1434243861,256
1434245380,663
1434250440,194
1434251832,47
1434256870,217
1434256930,742
1434257055,256
1434258320,199
1434258574,127
1434261005,148
1434263584,196
1434266192,118
1434266707,209
1434268952,747
1434269131,6
1434271175,278
1434273035,524
1434273737,149
1434275153,613
1434276055,204
1434278044,108
1434282604,562
1434282653,646
1434283474,195
1434285184,1090
1434288600,94
1434289237,68
1434293665,51
1434293755,361
1434299874,1522
1434301724,231
1434301931,70
1434304104,32
1434304963,40
1434307661,299
1434307681,64
1434308324,103
1434310311,63
1434314877,1340
1434320201,161
1434320270,617
1434320761,366
1434333017,213
1434335341,81
1434337702,236
1434338352,255
1434339064,384
1434339160,49
1434339604,315
1434341077,126
1434342830,742
1434345395,47
1434346725,110
1434348073,292
1434350237,74
1434350942,53
1434351692,34
1434362572,216
1434364475,74
1434366115,74
1434370320,565
1434371363,541
1434371813,95
1434373103,121
1434375872,779
1434378324,498
1434378705,225
1434380940,114
1434381404,162
1434383267,22
1434383341,84
1434383565,40
1434384562,561
1434386065,269
1434386092,214
1434387020,292
1434388940,5
1434392503,47
1434394605,168
1434394701,293
1434396997,49
1434397371,2
1434402060,82
1434409692,31
1434410281,85
1434414634,219
1434415820,241
1434418352,90
1434419542,164
1434419580,176
1434419591,145
1434419602,86
1434419771,7
1434419811,32
1434420062,179
1434420081,561
1434421631,145
1434422064,945
1434424903,36
1434424964,72
1434425714,225
1434426213,207
1434426421,84
1434427107,8
1434428723,53
1434429255,15
1434430871,646
1434432584,129
1434434457,144
1434434673,171
1434437727,31
1434437771,18
1434440064,58
1434444892,288
1434447024,98
1434447807,284
1434448551,302
1434451581,136
1434451731,30
1434452383,1305
1434452683,239
1434452853,295
1434452880,383
1434454671,310
1434456800,191
1434459051,396
1434460071,127
1434461050,121
1434463354,79
1434465331,424
1434465751,185
1434465884,102
1434470915,114
1434471061,365
1434474163,81
1434475192,137
1434476397,172
1434476403,445
1434476591,759
1434477690,249
1434482170,86
1434483330,516
1434483427,235
1434489412,70
1434490112,342
1434491204,73
1434492110,163
1434492385,322
1434495821,308
1434497893,188
1434498015,96
1434498742,271
1434501485,288
1434502651,121
1434503647,344
1434504367,61
1434507202,56
1434507223,42
1434508174,169
1434510235,102
1434510764,139
1434511983,85
1434513602,103
1434513973,40
1434514324,133
1434515530,14
1434517001,127
1434521743,356
1434526570,492
1434527361,310
1434527732,415
1434528151,1391
1434531197,255
1434531724,111
1434531735,82
1434532894,214
1434533624,40
1434533641,139
1434533667,403
1434536551,56
1434537702,233
1434538050,1369
1434539925,119
1434541951,65
1434542493,152
1434544483,132
1434544513,244
1434544810,162
1434546357,491
1434551502,151
1434551585,44
1434552554,94
1434553561,133
1434555724,32
1434557285,69
1434558484,24
1434559071,1073
1434559737,266
1434559965,119
1434560371,286
1434563757,718
1434564321,112
1434564737,61
1434566265,18
1434566994,118
1434567067,1750
1434573703,73
1434580724,34
1434581652,76
1434585263,70
1434587547,16
1434593852,56
1434594472,752
1434595612,141
1434595832,208
1434595863,275
1434596923,103
1434596990,208
1434597257,34
1434598107,331
1434598652,114
1434599762,34
1434601634,277
1434602584,784
1434604293,55
1434605193,59
1434605320,216
1434607403,19
1434609220,1152
1434612054,43
1434613061,345
1434618061,58
1434618582,139
1434618870,1477
1434619817,39
1434624161,817
1434624975,1350
1434629094,51
1434631637,241
1434632771,707
1434634922,35
1434634947,73
1434636037,72
1434636581,134
1434639643,1664
1434640054,287
1434640582,617
1434641584,235
1434642131,37
1434642151,271
1434642433,119
1434643147,24
1434644694,204
1434645745,234
1434646351,138
1434650910,436
1434650911,349
1434654963,295
1434655804,62
1434660360,103
1434660721,215
1434667501,37
1434669560,144
1434669562,167
1434670014,212
1434670970,407
1434675543,208
1434675640,154
1434676802,995
1434680412,486
1434681592,181
1434682201,238
1434682307,222
1434682527,13
1434682553,1275
1434684397,31
1434686293,133
1434687635,41
1434687935,79
1434688680,149
1434692513,444
1434694457,416
1434694951,167
1434695170,69
1434698690,827
1434698981,165
1434700155,86
1434701290,808
1434701294,387
1434704997,63
1434706431,1989
1434707841,81
1434710283,278
1434711242,84
1434711685,430
1434715795,97
1434717217,64
1434717900,185
1434718541,111
1434720022,552
1434720681,430
1434721137,134
1434722114,912
1434723177,270
1434724153,369
1434727094,197
1434728167,160
1434729014,443
1434730644,210
1434731783,93
1434731981,597
1434732514,121
1434732715,308
1434734343,668
1434734410,15
1434740355,143
1434742473,208
1434744771,113
1434746781,52
1434747404,86
1434747630,236
1434750034,141
1434755350,411
1434755755,259
1434757120,43
1434758281,62
1434760937,95
1434760990,96
1434762314,50
1434763932,169
1434764827,63
1434766840,329
1434767884,147
1434768663,93
1434769525,103
1434771544,82
1439316504,225
1439317363,327
1439318215,212
1439320732,61
1439321142,34
1439331640,17
1439332734,162
1439332807,396
1439333891,25
1439334465,293
1439334713,300
1439337172,253
1439337317,25
1439339567,624
1439345361,93
1439348691,111
1439349140,146
1439358383,71
1439358541,73
1439360804,692
1439362620,126
1439364292,436
1439364990,194
1439368315,72
1439368335,74
1439369572,312
1439369701,107
1439369912,1352
1439370650,211
1439371020,503
1439371750,1133
1439374924,54
1439375154,547
1439375430,31
1439377027,134
1439377233,49
1439384105,100
1439385562,102
1439386254,30
1439386423,73
1439387340,89
1439393620,853
1439395165,152
1439397575,9
1439397993,306
1439398441,303
1439404747,1605
1439407052,111
1439408447,1260
1439408702,188
1439410773,265
1439411150,229
1439411820,348
1439414042,182
1439414435,18
1439414705,130
1439422443,287
1439423814,654
1439426074,87
1439427684,81
1439430370,43
1439433251,154
1439434345,157
1439435961,690
1439440182,682
1439442072,111
1439451013,50
1439456073,86
1439458191,220
1439459363,13
1439459871,21
1439462111,207
1439462707,1108
1439464677,82
1439464803,114
1439471085,425
1439475123,71
1439478962,33
1439482372,769
1439482777,62
1439483001,125
1439486270,418
1439489482,991
1439497251,633
1439497600,49
1439498664,256
1439499065,55
1439501521,291
1439502590,239
1439503732,252
1439504291,172
1439506484,112
1439508610,189
1439510575,600
1439514351,155
1439518811,155
1439520395,135
1439520770,1616
1439521832,161
1439526984,398
1439530780,1347
1439532923,265
1439534114,33
1439534550,141
1439539882,1347
1439541671,17
1439542342,583
1439543862,192
1439543974,276
1439545115,443
1439545517,19
1439545701,457
1439548877,264
1439551730,264
1439558282,38
1439558562,97
1439558741,237
1439559653,72
1439563882,145
1439564002,141
1439573153,332
1439573285,67
1439573570,519
1439578930,5
1439580687,52
1439584702,36
1439589664,1222
1439590941,486
1439591115,199
1439595414,174
1439596052,20
1439597407,333
1439599741,16
1439606430,1581
1439607235,182
1439612393,106
1439613093,832
1439615295,283
1439619540,42
1439621227,632
1439621463,45
1439625305,230
1439626837,1168
1439645633,396
1439647563,455
1878572677,272
1878573891,293
1878573973,193
1878574173,135
1878574214,746
1878574661,224
1878574743,320
1878574921,79
1878575471,147
1878575957,90
1878576484,123
1878576610,499
1878576931,49
1878576942,157
1878577095,206
1878577443,86
1878577927,1385
1878577960,291
1878578191,76
1878578202,24
1878578405,93
1878578622,858
1878578683,129
1878578874,78
1878579107,129
1878579784,34
1878579845,234
1878580004,49
1878580163,168
1878580627,828
1878580667,70
1878580747,83
1878581001,83
1878581055,261
1878581232,39
1878581697,114
1878582487,651
1878582551,86
1878582611,1326
1878582623,1676
1878582655,165
1878582923,70
1878583115,53
1878583133,89
1878583253,434
1878583483,276
1878584035,226
1878584127,180
1878584235,60
1878584581,169
1878584853,27
1878584871,97
1878585281,94
1878585421,65
1878585634,130
1878585863,7
1878586150,1743
1878586385,199
1878586877,243
1878586892,30
1878587037,804
1878587053,119
1878587204,180
1878587233,84
1878587424,228
1878587655,277
1878588223,403
1878588667,984
1878589487,189
1878589562,208
1878589707,447
1878589740,67
1878589902,158
1878591313,52
1878592051,123
1878592084,225
1878592094,33
1878592112,84
1878592160,331
1878592497,100
1878592651,6
1878592927,46
1878593253,63
1878593964,137
1878594043,63
1878594701,51
1878594980,264
1878595062,216
1878595455,40
1878595471,70
1878596054,382
1878596164,211
1878596574,376
1878596620,87
1878597082,15
1878597327,74
1878597701,240
1878598480,1424
1878598573,181
1878598662,523
1878598725,25
1878599031,123
1878599187,443
1878600022,67
1878600095,283
1878600102,146
1878600597,439
1878600965,25
1878600987,90
1878601002,48
1878601113,59
1878601291,373
1878601460,55
1878601672,6
1878602162,68
1878602370,921
1878603172,143
1878603271,240
1878603280,82
1878603547,79
1878603625,66
1878603672,43
1878603877,62
1878603930,138
1878604481,468
1878604502,333
1878604512,180
1879124215,180
1879124225,587
1879124404,165
1879124530,51
1879125197,101
1879125257,193
1879125695,71
1879125957,580
1879126040,628
1879126043,416
1879126180,131
1879126244,99
1879126680,42
1879126995,88
1879127255,454
1879127944,111
1879128247,1077
1879128362,13
1879128395,100
1879128453,1047
1879128485,50
1879128591,84
1879128653,256
1879129565,19
1879129987,74
1879130027,120
1879130154,116
1879130233,69
1879130384,26
1879130405,26
1879130510,10
1879130773,58
1879130915,79
1879131197,86
1879131453,55
1879131770,135
1879131951,48
1879132110,93
1879132153,120
1879132341,97
1879132554,75
1879132660,83
1879132813,298
1879132835,98
1879132970,131
1879133002,147
1879133105,42
1879133713,78
1879134031,55
1879134130,399
1879134392,111
1879134702,71
1879134747,91
1879135063,158
1879135213,323
1879135231,314
1879135361,161
1879135614,69
1879135974,193
1879135977,159
1879136023,290
1879136063,256
1879136302,488
1879136522,224
1879136677,265
1879137537,175
1879137553,8
1879137657,134
1879137674,182
1879137877,27
1879137984,100
1879138105,113
1879138212,75
1879138233,6
1879138273,27
1879138491,170
1879139004,68
1879139245,11
1879139463,57
1879140324,78
1879140447,207
1879140622,127
1879140633,479
1879140955,58
1879141082,105
1879141267,15
1879141271,71
1879141351,259
1879141490,111
1879142160,68
1879142512,269
1879142951,251
1879143033,35
1879143117,48
1879143957,129
1879143971,296
1879144040,141
1879144144,187
1879144233,132
1879144275,1114
1879144342,433
1879144844,246
1879145080,105
1879145085,186
1879145194,362
1879145304,82
1879145580,49
1879146041,455
1879146051,152
1879146065,297
1879146145,192
1879146547,140
1879146667,156
1879146695,343
1879146780,26
1879147112,203
1879147302,1353
1879147434,117
1879147780,40
1879147973,137
1879148511,105
1879148700,115
1879148865,751
1879149213,167
1879149223,81
1879149283,58
1879149390,106
1879149400,1
1879149511,338
1879149994,133
1879150034,59
1879150325,353
1879150732,19
1879150955,74
1879151193,256
1879151463,11
1879151613,111
1879151823,219
1879151930,70
1879151935,304
1879152041,682
1879152222,63
1879152325,47
1879152354,113
1879152533,969
1879152674,40
1879152944,494
1879153000,633
1879153037,100
1879153543,58
1879154000,253
1879154083,64
1879154217,67
1879154265,57
1879154335,308
1879154673,246
1879154743,243
1879154851,263
1879154971,85
1879155071,66
1879155302,125
1879155530,30
1879155643,122
1879155741,81
1879155935,168
1879156082,87
1879156402,140
1879156641,117
1879156897,29
1879156917,4
1879156962,111
1879157282,87
1879157655,550
1879157904,502
1879158251,666
1879158530,317
1879158780,243
1879158991,37
1879159204,73
1879159263,387
1879159552,306
1879159590,30
1879159682,59
1879159893,50
1879160037,196
1879160480,145
1879160491,178
1879160514,643
1879161247,473
1879161280,359
1879161364,53
1879161390,196
1879161394,167
1879161730,352
1879162233,271
1879162604,74
1879162870,30
1879163237,160
1879163373,79
1879163690,850
1879163794,163
1879163861,810
1879164687,253
1879164957,65
1879165097,237
1879165147,52
1879165430,70
1879165595,763
1879165642,201
1879166025,599
1879166127,95
1879166217,414
1879166473,59
1879166904,424
1879167022,529
1879167103,165
1879167280,135
1879167282,47
1879167284,325
1879167552,72
1879167575,44
1879167711,510
1879168147,45
1879168322,112
1879168323,216
1879168340,218
1879168733,60
1879168807,442
1879169402,170
1879169507,1246
1879169925,252
1879169997,82
1879170853,89
1879170940,142
1879171053,322
1879171152,31
1879171170,173
1879171703,222
1879171964,108
1879172017,55
1879172363,390
1879172645,230
1879172691,953
1879172860,78
1879173071,60
1879173404,70
1879173663,51
1879174047,448
1879174481,72
1879174594,20
1879174884,25
1879175273,55
1879175861,99
1879176385,127
1879176392,84
1879176622,137
1879176623,3
1879176630,440
1879176952,83
1879177281,49
1879177731,88
1879177922,90
1879178187,113
1879178394,404
1879179283,176
1879179333,6
1879179653,4
1879179857,128
1879179924,352
1879180713,45
1879181184,51
1879182725,36
1879182765,54
1879183200,45
1879183244,80
1879183555,736
1879183745,70
1879184040,110
1879184517,119
1879184551,163
1879184891,266
1879185201,73
1879187112,319
1879187432,319
1879187595,1144
1879187742,96
1879187927,40
1879188362,59
1879188771,44
1879189223,88
1879189505,67
1879189522,85
1879189547,257
1879189555,199
1879189664,173
1879190432,74
1879190683,156
1879190741,155
1879191175,62
1879191524,91
1879191701,103
1879191871,128
1879191967,350
1879192224,24
1879192453,37
1879192483,354
1879192565,582
1879192935,144
1879193544,131
1879193650,139
1879193925,131
1879194187,228
1879194297,679
1879194397,183
1879194432,35
1879194601,168
1879194917,107
1879195004,154
1879195423,43
1879195522,56
1879196597,134
1879197002,145
1879197517,253
1879197591,702
1879198502,216
1879198933,360
1879199295,14
1879199300,36
1879199307,179
1879199610,67
1879199765,173
1879199815,33
1879200053,40
1879200495,414
1879200502,318
1879200581,544
1879200853,249
1879200961,151
1879201087,13
1879201371,98
1879201637,103
1879202050,101
1879202085,363
1879202681,756
1879202903,172
1879202984,57
1879203007,82
1879203167,611
1879203193,26
1879203352,82
1879203637,193
1879204481,456
1879204533,216
1879204733,163
1879206022,186
1879206624,37
1879207025,98
1879207284,120
1879207707,486
1879207801,166
1879207954,188
1879208142,115
1879208353,231
1879208903,70
1879209727,549
1879210305,308
1879210993,284
1879211305,194
1879211333,336
1879211747,161
1879212093,485
1879213093,266
1879213657,71
1879214020,139
1879214117,56
1879214497,87
1879214501,15
1879214581,1163
1879214721,129
1879214795,52
1879214934,68
1879215667,924
1879215861,173
1879216587,108
1879216820,180
1879217103,62
1879217220,52
1879217541,40
1879217553,790
1879217593,108
1879217884,695
1879218177,262
1879220197,204
1879220321,932
1879220504,66
1879221291,906
1879221370,74
1879222304,121
1879222605,353
1879223171,135
1879223201,57
1879223355,73
1879223413,984
1879223590,102
1879223875,100
1879224101,1094
1879224264,78
1879224335,702
1879224385,28
1879224677,649
1879224927,79
1879225615,100
1879225737,79
1879225765,149
1879226021,70
1879226900,71
1879227165,355
1879227784,127
1879227840,164
1879227964,258
1879228947,423
1879229867,645
1879230497,426
1879230850,184
1879231097,892
1879231235,421
1879231327,164
1879231355,266
1879231473,1979
1879231743,417
1879232197,49
1879232271,49
1879232284,205
1879232687,56
1879232854,49
1879232961,90
1879233294,314
1879233882,1400
1879234001,35
1879234225,129
1879234541,41
1879234602,184
1879234880,790
1879235277,104
1879235340,29
1879235807,11
1879235833,825
1879236991,382
1879237145,137
1879237643,726
1879237691,121
1879238233,34
1879238252,602
1879238341,496
1879238355,69
1879238465,308
1879239245,76
1879240034,68
1879240773,40
1879241163,311
1879241347,100
1879241531,331
1879241701,108
1879241787,87
